songID,songTitle,SongArtistTitle,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,"['corrido', 'corridos tumbados', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",99,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,audio_features,3dnP0JxCgygwQH9Gm7q7nb,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/tracks/3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/audio-analysis/3dnP0JxCgygwQH9Gm7q7nb,165671,3
07bsRv0pcpbG4zJeLsUs1p,Eyes Closed,"['pop', 'uk pop']",89,0.777,0.526,2,-6.221,1,0.0645,0.302,0,0.105,0.389,107.071,audio_features,07bsRv0pcpbG4zJeLsUs1p,spotify:track:07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/tracks/07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/audio-analysis/07bsRv0pcpbG4zJeLsUs1p,194849,4
2NbsBSshscKIPRG3kwBbfo,Never Felt So Alone,"['indie poptimism', 'pop']",88,0.436,0.409,5,-4.438,1,0.0533,0.499,0.000166,0.38,0.363,98.357,audio_features,2NbsBSshscKIPRG3kwBbfo,spotify:track:2NbsBSshscKIPRG3kwBbfo,https://api.spotify.com/v1/tracks/2NbsBSshscKIPRG3kwBbfo,https://api.spotify.com/v1/audio-analysis/2NbsBSshscKIPRG3kwBbfo,160166,3
6UN73IYd0hZxLi8wFPMQij,Players,"['new jersey underground rap', 'trap queen']",92,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,audio_features,6UN73IYd0hZxLi8wFPMQij,spotify:track:6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/tracks/6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/audio-analysis/6UN73IYd0hZxLi8wFPMQij,139560,4
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),"['rap', 'trap', 'canadian contemporary r&b', 'canadian pop', 'pop', 'atl hip hop', 'hip hop']",96,0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,audio_features,2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,4
6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap', 'conscious hip hop', 'north carolina hip hop']",89,0.829,0.436,3,-8.205,1,0.327,0.15,0,0.0954,0.693,143.031,audio_features,6HgWWaMu31KdOpEG5l28BG,spotify:track:6HgWWaMu31KdOpEG5l28BG,https://api.spotify.com/v1/tracks/6HgWWaMu31KdOpEG5l28BG,https://api.spotify.com/v1/audio-analysis/6HgWWaMu31KdOpEG5l28BG,223204,4
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,['pop'],94,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,4
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'new jersey underground rap', 'trap queen']",90,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,audio_features,3BKD1PwArikchz2Zrlp1qi,spotify:track:3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/tracks/3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/audio-analysis/3BKD1PwArikchz2Zrlp1qi,140018,4
5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance', 'indietronica', 'metropopolis', 'uk pop']",91,0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,audio_features,5eTaQYBE1yrActixMAeLcZ,spotify:track:5eTaQYBE1yrActixMAeLcZ,https://api.spotify.com/v1/tracks/5eTaQYBE1yrActixMAeLcZ,https://api.spotify.com/v1/audio-analysis/5eTaQYBE1yrActixMAeLcZ,186496,4
5odlY52u43F5BjByhxg7wg,golden hour,"['modern indie pop', 'pov: indie']",90,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,audio_features,5odlY52u43F5BjByhxg7wg,spotify:track:5odlY52u43F5BjByhxg7wg,https://api.spotify.com/v1/tracks/5odlY52u43F5BjByhxg7wg,https://api.spotify.com/v1/audio-analysis/5odlY52u43F5BjByhxg7wg,209260,3
